name,country,q1,q2,q3,total,award,,
anonymous,AUS,100,100,100,300,Gold,,
anonymous,AUS,100,100,100,300,Gold,,
anonymous,AUS,100,100,100,300,Gold,,
anonymous,AUS,100,100,100,300,Gold,,
anonymous,NZ,100,100,81,281,(unofficial),,
anonymous,NZ,100,100,81,281,Silver,,
anonymous,AUS,100,100,61,261,Silver,,
anonymous,AUS,100,100,56,256,Silver,,
anonymous,AUS,70,100,81,251,Silver,,
anonymous,NZ,70,100,81,251,Silver,,
anonymous,AUS,100,86,56,242,Silver,,
anonymous,AUS,100,100,36,236,Bronze,,
anonymous,NZ,100,100,36,236,Bronze,,
anonymous,AUS,100,100,36,236,Bronze,,
anonymous,AUS,100,100,36,236,Bronze,,
anonymous,AUS,100,100,36,236,Bronze,,
anonymous,NZ,70,100,36,206,(unofficial),,
anonymous,AUS,50,100,56,206,Bronze,,
anonymous,AUS,100,100,0,200,Bronze,,
anonymous,NZ,100,40,56,196,Bronze,,
anonymous,AUS,50,100,36,186,Bronze,,
anonymous,AUS,100,40,36,176,Bronze,,
anonymous,AUS,100,12,61,173,,,
anonymous,AUS,70,40,61,171,,,
anonymous,AUS,100,58,0,158,,,
anonymous,NZ,100,40,0,140,,,
anonymous,AUS,0,100,36,136,,,
anonymous,AUS,100,0,18,118,,,
anonymous,AUS,100,0,0,100,,,
anonymous,AUS,100,0,0,100,,,
anonymous,NZ,15,40,36,91,,,
anonymous,NZ,70,12,0,82,,,
anonymous,NZ,70,12,0,82,,,
anonymous,AUS,15,40,0,55,,,
anonymous,NZ,35,12,0,47,,,
anonymous,NZ,0,40,0,40,,,
anonymous,NZ,35,0,0,35,,,
anonymous,N/A,15,0,0,15,,,
