name	country	total
Chris Chen	Australia	  299
Jack Murray	Australia	  285
Harry Slatyer	Australia	  216
Daniel Berger	Australia	  202
Louis Jachiet	France	  200   (tied)
Alex Mathews	Australia	  200   (tied)
Geoffrey Huck	France	  191   (tied)
Jarrah Lacko	Australia	  191   (tied)
Angus McInnes	Australia	  181
Xi Chen	Australia	  180   (tied)
Daniel Visentin	Australia	  180   (tied)
Victor Lei	Australia	  156
Daniel Axtens	Australia	  153
Kévin Perez	France	  146
Lucas Hosseini	France	  139
Alexandre Crayssac	France	  136
Willy Mai	Australia	  135
Paul Kirchner	France	  127
