rank	country	q1	q2	q3	total
1	Australia	100	100	100	300
2	France	80	100	72.27	252.27
3	France	100	100	48	248
4	Australia	80	100	48	228
5	France	60	100	48	208
6	France	80	100	22	202
7	Australia	100	41	48	189
8	Australia	80	100	7	187
9	Australia	90	67	22	179
10	Australia	80	67	22	169
10	Australia	80	67	22	169
10	France	80	67	22	169
10	France	80	41	48	169
14	Australia	100	41	22	163
15	France	60	41	48	149
16	Australia	80	41	22	143
16	New Zealand	80	41	22	143
16	Australia	80	41	22	143
16	France	80	41	22	143
20	France	80	41	7	128
21	Australia	60	41	22	123
21	Australia	60	41	22	123
21	France	60	41	22	123
21	France	60	41	22	123
21	France	60	41	22	123
26	Australia	80	41	0	121
26	France	80	19	22	121
28	New Zealand	60	41	7	108
28	Australia	60	26	22	108
30	New Zealand	80	4	22	106
30	France	80	19	7	106
32	Australia	60	41	0	101
32	France	60	41	0	101
